1,ABONO COMPOMASTER,F,2.3.1.10.1.4,"FERTILIZANTES, INSECTICIDAS, FUNGICIDAS Y SIMILARES",KILOGRAMO,2.4
2,ABONO FOLIAR FLORACION,F,2.3.1.11.1.5,OTROS MATERIALES DE MANTENIMIENTO,LITRO,40
3,"ABRAZADERA DE ACERO DE 1/2"" X 1""",F,2.3.1.11.1.5,OTROS MATERIALES DE MANTENIMIENTO,UNIDAD,3.5
4,"ABRAZADERA DE ACERO INOXIDABLE DE 630 mm X 1/2""",F,2.3.1.99.1.99,OTROS BIENES,UNIDAD,11
5,"ABRAZADERA DE ALUMINIO DE 1""",I,2.6.2.3.4.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,6
6,"ABRAZADERA DE FIERRO DE 1""",F,2.3.1.6.1.1,DE VEHICULOS,UNIDAD,2.5
7,"ABRAZADERA DE FIERRO GALVANIZADO 2 1/2"" (P/MANGUERA)",F,2.3.1.99.1.99,OTROS BIENES,UNIDAD,3
8,"ABRAZADERA DE FIERRO GALVANIZADO DE 1"" DE 1 OREJA",F,2.3.1.11.1.5,OTROS MATERIALES DE MANTENIMIENTO,UNIDAD,1.3
9,"ABRAZADERA DE FIERRO GALVANIZADO DE 1"" DE 1 OREJA",F,2.3.1.99.1.99,OTROS BIENES,UNIDAD,1.6
10,"ABRAZADERA DE FIERRO GALVANIZADO DE 2""",I,2.6.2.3.5.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,UNIDAD,118
11,"ABRAZADERA DE FIERRO GALVANIZADO DE 3/4"" DE 1 OREJA",F,2.3.1.99.1.99,OTROS BIENES,UNIDAD,2
12,ABRELATAS MECANICO DE PLASTICO Y ACERO,F,2.3.1.99.1.99,OTROS BIENES,UNIDAD,60
13,ACCESORIOS PARA TANQUE BAJO,F,2.3.1.11.1.5,OTROS MATERIALES DE MANTENIMIENTO,JUEGO,29.25
14,ACEITE DE MOTOR,I,2.6.2.3.4.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,GALON,90
15,ACEITE DE MOTOR SAE 15 W 40,F,2.3.1.3.1.3,"LUBRICANTES, GRASAS Y AFINES",GALON,85.89
16,ACEITE DE MOTOR SAE 15 W 40,I,2.6.2.3.4.4,COSTO DE CONSTRUCCION POR ADMINISTRACION DIRECTA - BIENES,GALON,82.86
17,ACEITE DE TRANSMISION GRADO 30,F,2.3.1.3.1.3,"LUBRICANTES, GRASAS Y AFINES",GALON,56
18,ACEITE DE TRANSMISION SAE 140,F,2.3.1.3.1.3,"LUBRICANTES, GRASAS Y AFINES",GALON,88
19,ACEITE DE TRANSMISION SAE 80 W 90,F,2.3.1.3.1.3,"LUBRICANTES, GRASAS Y AFINES",GALON,73
20,ACEITE LUBRICANTE 4 TIEMPOS 20W-50 PARA MOTOR GASOLINERO ,F,2.3.1.3.1.3,"LUBRICANTES, GRASAS Y AFINES",GALON,191.43
21,ACEITE LUBRICANTE 90 PARA CAJA DE CAMBIO,F,2.3.1.3.1.3,"LUBRICANTES, GRASAS Y AFINES",GALON,200
22,ACEITE LUBRICANTE MULTIUSO X 9 oz,F,2.3.1.11.1.5,OTROS MATERIALES DE MANTENIMIENTO,UNIDAD,29
